off_id,count2,tstick1,sstick1,tstick2,sstick2,tripfreq,avedur,centdist,subcendist,eat,recrea,cult,finan,dailyser,transport,work,reside,poi_entro,metrosta4,busstop4,busroute,roadden3,junden3,oldage,highage,midage,adult,youth,juveni,female,houseprice,pop,popden
4414,55,0.12603674,0.079491588,0.345399871,4129.427904,7.8,0.303241802,12.96515403,6.909671257,0,4,2,0,3,1,3,1,2.4138,0,11,18,12.8989,68,0.041349001,0.100676,0.323154002,0.403055012,0.124894001,0.019068399,0.492597997,46067,16951,67803
4415,67,0.127336137,0.092382227,0.362699996,4813.155948,7.044776119,0.363892111,13.45058383,7.306018484,41,32,9,1,57,18,16,1,2.430715,0,13,25,16.0382,164,0.0439521,0.099450998,0.321025014,0.39308399,0.133072004,0.0198844,0.495867997,46889,17560,70238
4416,111,0.137433628,0.055924138,0.392137661,2929.727508,9.072072072,0.528824047,13.93704386,7.714418662,14,25,6,3,44,14,9,2,2.47967,1,7,19,12.7089,116,0.042902999,0.0948871,0.314740986,0.387356013,0.147428006,0.0213295,0.497125,47201,19886,79543
4419,699,0.153581777,0.049711096,0.414265681,2594.333168,8.39341917,0.284231539,15.40162818,8.995293375,17,6,1,0,11,3,3,1,2.236123,2,9,98,22.0594,232,0.039154802,0.084409401,0.281477988,0.411989003,0.164850995,0.0210272,0.498504996,44107,23493,93972
4420,92,0.168032176,0.052098018,0.452023061,2712.499271,7.52173913,0.268882728,15.89129122,9.436612321,99,347,48,19,129,30,53,4,2.241158,1,8,21,22.384,276,0.036150899,0.092077702,0.280748993,0.414216995,0.156663001,0.019794701,0.501933992,45069,22912,91648
4421,65,0.17542457,0.126771689,0.508241273,6576.45825,8.307692308,0.372660592,16.38157877,9.883521706,12,18,9,7,100,11,9,2,2.047486,1,6,12,15.1544,120,0.033439901,0.099014901,0.287743986,0.412203014,0.147773996,0.0189733,0.505852997,45801,21550,86198
4422,722,0.13633814,0.057960819,0.364994967,3018.977565,9.29501385,0.159042581,16.87243638,10.33529634,3,31,1,1,21,3,8,3,2.153807,0,12,18,18.1341,228,0.0338233,0.106443003,0.302767992,0.406172007,0.137468994,0.019304501,0.50631398,44411,21131,84523
4423,53,0.148887497,0.061289178,0.409291118,3186.470485,8.41509434,0.390064202,17.3638157,10.79132521,49,80,3,3,89,20,23,4,2.315477,0,2,9,24.3669,260,0.035769802,0.124826998,0.338066995,0.380326986,0.115722999,0.018164299,0.508578002,45167,18360,73442
4424,119,0.144344723,0.058369485,0.397768165,3031.340358,8.336134454,0.428738557,17.85567366,11.25109101,0,2,10,1,13,8,6,0,2.251059,0,1,2,14.6045,104,0.039475001,0.114045002,0.338925987,0.397235006,0.109938003,0.017772799,0.505967975,45440,17743,70970
4442,385,0.159977124,0.079421692,0.444072026,4142.306579,7.111688312,0.301143803,16.53271403,2.880830283,3,4,1,0,3,1,7,0,2.292072,0,2,13,10.0217,64,0.0306354,0.109932996,0.217289001,0.419346988,0.195259005,0.033743501,0.416244,34390,3135,12539
4452,51,0.169225114,0.079778559,0.480252867,4168.641739,7.352941176,0.412518743,11.66824851,4.413984626,16,8,0,2,27,3,21,3,2.320298,0,2,16,13.2479,136,0.038883299,0.123502001,0.238544002,0.407851011,0.157067001,0.031688798,0.411868989,47195,7333,29332
4456,162,0.165751888,0.098848408,0.449252915,5160.055487,9.00617284,0.403395497,9.760890295,5.342557249,15,15,2,1,31,5,10,1,2.364004,0,2,6,14.0461,112,0.052915599,0.130242005,0.281948,0.383904994,0.128700003,0.0268039,0.467478991,51189,14629,58516
4460,600,0.156172451,0.115599361,0.430639475,6064.717719,9.713333333,0.43254572,7.899489567,3.975577996,0,2,4,0,12,7,12,0,2.082681,0,4,90,21.5041,200,0.060291201,0.147606,0.275536001,0.362563998,0.136509001,0.026050299,0.487810999,51961,17736,70944
4462,79,0.151611056,0.06398246,0.420745135,3345.740384,9.544303797,0.317079805,6.997529097,3.526524014,29,261,0,1,242,7,24,0,1.543595,0,1,89,16.8719,136,0.052192401,0.136667997,0.246003002,0.370674998,0.170680001,0.027532101,0.494091988,58119,19479,77918
4463,897,0.15942531,0.067169529,0.435277379,3519.865311,9.570791527,0.257201169,6.557221399,3.391452083,8,210,3,0,55,10,24,0,1.453734,1,4,98,18.9406,164,0.0421752,0.129959002,0.231560007,0.371098995,0.197989002,0.0281466,0.496942997,60698,18487,73948
4466,639,0.158648781,0.14731643,0.4372553,7762.580349,9.471048513,0.466940869,5.300223536,3.420332449,23,18,6,5,50,12,11,1,2.474499,2,3,40,25.693,368,0.049556602,0.123924002,0.227500007,0.397163004,0.175163999,0.024665499,0.48337701,67609,20967,83868
